Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
RNCP1206FTD100RCT-ND,STACKPOLE ELECTRONICS INC (VA),RNCP1206FTD100R,,3,0,0,12 Weeks,RES SMD 100 OHM 1% 1/2W 1206,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jul-2017
MCP1541T-I/TTCT-ND,MICROCHIP TECHNOLOGY (VA),MCP1541T-I/TT,,1,0,0,6 Weeks,IC VREF SERIES 4.096V SOT23-3,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
MCP1525T-I/TTCT-ND,MICROCHIP TECHNOLOGY (VA),MCP1525T-I/TT,,1,0,0,4 Weeks,IC VREF SERIES 2.5V SOT23-3,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
576-2230-ND,MICROCHIP TECHNOLOGY,MIC29310-5.0WU,,1,0,0,15 Weeks,IC REG LINEAR 5V 3A TO263-3,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
RMCF1206ZT0R00CT-ND,STACKPOLE ELECTRONICS INC (VA),RMCF1206ZT0R00,,2,0,0,12 Weeks,RES SMD 0 OHM JUMPER 1/4W 1206,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jul-2017
36-5015CT-ND,KEYSTONE ELECTRONICS (VA),5015,,4,0,0,4 Weeks,PC TEST POINT MINIATURE SMT,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
296-24344-1-ND,TEXAS INSTRUMENTS (VA),AM26C31IDR,,1,0,0,6 Weeks,IC QUAD DIFF LINE DVR 16SOIC,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jul-2017
296-14471-1-ND,TEXAS INSTRUMENTS (VA),AM26C32IDR,,1,0,0,6 Weeks,IC QUAD DIFF LINE RCVR 16-SOIC,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jul-2017
ED10562-ND,ON SHORE TECHNOLOGY INC,OSTVN03A150,,1,0,0,10 Weeks,CONN TERM BLOCK 2.54MM 3POS PCB,,RoHS Compliant,Lead free,Unaffected Jul-2017
ED10564-ND,ON SHORE TECHNOLOGY INC,OSTVN05A150,,4,0,0,10 Weeks,CONN TERM BLOCK 2.54MM 5POS PCB,,RoHS Compliant,Lead free,Unaffected Jul-2017
ED10566-ND,ON SHORE TECHNOLOGY INC,OSTVN08A150,,1,0,0,10 Weeks,CONN TERM BLOCK 2.54MM 8POS PCB,,RoHS Compliant,Lead free,Unaffected Jul-2017
399-8004-1-ND,KEMET (VA),C0805C105K3RACTU,,2,0,0,18 Weeks,CAP CER 1UF 25V X7R 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
399-7442-1-ND,KEMET (VA),C1206C106K3RACTU,,4,0,0,27 Weeks,CAP CER 10UF 25V X7R 1206,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
399-1170-1-ND,KEMET (VA),C0805C104K5RACTU,,4,0,0,22 Weeks,CAP CER 0.1UF 50V X7R 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
296-1055-1-ND,TEXAS INSTRUMENTS (VA),SN74AC08DR,,1,0,0,6 Weeks,IC GATE AND 4CH 2-INP 14-SOIC,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jul-2017
MCP3008T-I/SLCT-ND,MICROCHIP TECHNOLOGY (VA),MCP3008T-I/SL,,1,0,0,15 Weeks,IC ADC 10BIT 2.7V 8CH SPI 16SOIC,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
